Massimo Mecella,373,,,,,,,,,,,,,
Garth A. Gibson,372,,,,,,,,,,,,,
Moses Charikar,372,,,,,,,,,,,,,
Mahadev Satyanarayanan,371,,,,,,,,,,,,,
Sebastian Thrun,371,,,,,,,,,,,,,
Sophia Ananiadou,371,,,,,,,,,,,,,
Thomas Eiter,371,,,,,,,,,,,,,
Andrew Zisserman,370,,,,,,,,,,,,,
Dietmar Jannach,370,,,,,,,,,,,,,
Gregory R. Ganger,370,,,,,,,,,,,,,
John C. Mitchell,370,,,,,,,,,,,,,
AnHai Doan,369,,,,,,,,,,,,,
Andrew Y. Ng,369,,,,,,,,,,,,,
Krzysztof Janowicz,369,,,,,,,,,,,,,
Lei Shu 0001,369,,,,,,,,,,,,,
Franck Cappello,368,,,,,,,,,,,,,
Mike Paterson,368,,,,,,,,,,,,,
Rachid Guerraoui,368,,,,,,,,,,,,,
Sharad Mehrotra,368,,,,,,,,,,,,,
Bertram Ludäscher,367,,,,,,,,,,,,,
George J. Pappas,367,,,,,,,,,,,,,
Joost-Pieter Katoen,367,,,,,,,,,,,,,
Klaus-Robert Müller,367,,,,,,,,,,,,,
Milind Tambe,367,,,,,,,,,,,,,
Surya Nepal,367,,,,,,,,,,,,,
Sven Koenig,367,,,,,,,,,,,,,
Fausto Giunchiglia,366,,,,,,,,,,,,,
Sándor P. Fekete,366,,,,,,,,,,,,,
Jesús Labarta,365,,,,,,,,,,,,,
Juan Julián Merelo Guervós,365,,,,,,,,,,,,,
Matei Zaharia,365,,,,,,,,,,,,,
Michael T. Goodrich,365,,,,,,,,,,,,,
Jan vom Brocke,364,,,,,,,,,,,,,
Kalyanmoy Deb,364,,,,,,,,,,,,,
Peter W. Shor,364,,,,,,,,,,,,,
Terry Winograd,364,,,,,,,,,,,,,
Anind K. Dey,363,,,,,,,,,,,,,
Barbara Weber,363,,,,,,,,,,,,,
Tarek F. Abdelzaher,363,,,,,,,,,,,,,
Markus H. Gross,362,,,,,,,,,,,,,
Stefan Langerman,362,,,,,,,,,,,,,
Susan T. Dumais,362,,,,,,,,,,,,,
Wen Gao 0001,362,,,,,,,,,,,,,
Giovanni De Micheli,361,,,,,,,,,,,,,
Jaime G. Carbonell,361,,,,,,,,,,,,,
Jeff Z. Pan,361,,,,,,,,,,,,,
Mark H. Overmars,361,,,,,,,,,,,,,
Michael Beetz,361,,,,,,,,,,,,,
Noam Nisan,361,,,,,,,,,,,,,
Jeffrey Dean,360,,,,,,,,,,,,,
Jeffrey Xu Yu,360,,,,,,,,,,,,,
Friedhelm Meyer auf der Heide,359,,,,,,,,,,,,,
Geyong Min,359,,,,,,,,,,,,,
Jens Lehmann 0001,359,,,,,,,,,,,,,
Vahab S. Mirrokni,359,,,,,,,,,,,,,
Vern Paxson,359,,,,,,,,,,,,,
Volker Wulf,359,,,,,,,,,,,,,
Egon L. Willighagen,358,,,,,,,,,,,,,
Ravi Kumar 0001,358,,,,,,,,,,,,,
Zsolt Tuza,358,,,,,,,,,,,,,
A. Robert Calderbank,357,,,,,,,,,,,,,
Dennis Gannon,357,,,,,,,,,,,,,
Stephen P. Boyd,357,,,,,,,,,,,,,
Susan B. Davidson,357,,,,,,,,,,,,,
Andrei Z. Broder,356,,,,,,,,,,,,,
Calton Pu,356,,,,,,,,,,,,,
Eli Upfal,356,,,,,,,,,,,,,
Elizabeth D. Mynatt,356,,,,,,,,,,,,,
Manolis Koubarakis,356,,,,,,,,,,,,,
Mark Billinghurst,356,,,,,,,,,,,,,
Nigel Shadbolt,356,,,,,,,,,,,,,
Tamer Basar,356,,,,,,,,,,,,,
Wilhelm Hasselbring,356,,,,,,,,,,,,,
Alexandros G. Dimakis,355,,,,,,,,,,,,,
Qi Tian 0001,355,,,,,,,,,,,,,
Trevor Darrell,355,,,,,,,,,,,,,
Axel-Cyrille Ngonga Ngomo,354,,,,,,,,,,,,,
Dragomir R. Radev,354,,,,,,,,,,,,,
Jan Peters 0001,354,,,,,,,,,,,,,
Nicholas Ayache,354,,,,,,,,,,,,,
Anna Lubiw,353,,,,,,,,,,,,,
David G. Andersen,353,,,,,,,,,,,,,
Gregor Engels,353,,,,,,,,,,,,,
Laurence Tianruo Yang,353,,,,,,,,,,,,,
Carl Kesselman,352,,,,,,,,,,,,,
Richard Durbin,352,,,,,,,,,,,,,
Andrzej Cichocki,351,,,,,,,,,,,,,
Hajo A. Reijers,351,,,,,,,,,,,,,
Simon Parsons,351,,,,,,,,,,,,,
Anne E. Trefethen,350,,,,,,,,,,,,,
Danny Weyns,350,,,,,,,,,,,,,
Geert-Jan Houben,350,,,,,,,,,,,,,
Luc De Raedt,350,,,,,,,,,,,,,
Philippe Cudré-Mauroux,350,,,,,,,,,,,,,
Xuemin Shen,350,,,,,,,,,,,,,
Bettina Speckmann,349,,,,,,,,,,,,,
Johan Håstad,349,,,,,,,,,,,,,
Larry S. Davis,349,,,,,,,,,,,,,
Mark D. Hill,349,,,,,,,,,,,,,
Michael J. Wooldridge,349,,,,,,,,,,,,,
Paolo Dario,349,,,,,,,,,,,,,
Raphaël Troncy,349,,,,,,,,,,,,,
Sheelagh Carpendale,349,,,,,,,,,,,,,
Takeo Kanade,349,,,,,,,,,,,,,
Yan Zhang 0002,349,,,,,,,,,,,,,
Yang Xiang 0001,349,,,,,,,,,,,,,
Guido Governatori,348,,,,,,,,,,,,,
Johannes Schöning,348,,,,,,,,,,,,,
João Gama,348,,,,,,,,,,,,,
Alfred Kobsa,347,,,,,,,,,,,,,
Brad A. Myers,347,,,,,,,,,,,,,
Jaroslav Nesetril,347,,,,,,,,,,,,,
Minyi Guo,347,,,,,,,,,,,,,
Phokion G. Kolaitis,347,,,,,,,,,,,,,
Vijay Kumar 0001,347,,,,,,,,,,,,,
Virginia Dignum,347,,,,,,,,,,,,,
Antonio Krüger,346,,,,,,,,,,,,,
Armin B. Cremers,346,,,,,,,,,,,,,
Fatih Porikli,346,,,,,,,,,,,,,
Stuart J. Russell,346,,,,,,,,,,,,,
Allan Borodin,345,,,,,,,,,,,,,
Jennifer Golbeck,345,,,,,,,,,,,,,
Manuel Blum 0001,345,,,,,,,,,,,,,
Michael Goedicke,345,,,,,,,,,,,,,
Paolo Missier,345,,,,,,,,,,,,,
Samarjit Chakraborty,345,,,,,,,,,,,,,
Sariel Har-Peled,345,,,,,,,,,,,,,
Bernt Schiele,344,,,,,,,,,,,,,
Cynthia Dwork,344,,,,,,,,,,,,,
Erol Gelenbe,344,,,,,,,,,,,,,
J. Ian Munro,344,,,,,,,,,,,,,
Reinhard Wilhelm,344,,,,,,,,,,,,,
Venkatesan Guruswami,344,,,,,,,,,,,,,
Wolfgang Lehner,344,,,,,,,,,,,,,
Alfredo Cuzzocrea,343,,,,,,,,,,,,,
Bernd Becker 0001,343,,,,,,,,,,,,,
Carlos Guestrin,343,,,,,,,,,,,,,
Francesca Rossi,343,,,,,,,,,,,,,
Leonid Libkin,343,,,,,,,,,,,,,
Marko Grobelnik,343,,,,,,,,,,,,,
Sheila A. McIlraith,343,,,,,,,,,,,,,
Susanne Boll,343,,,,,,,,,,,,,
Alan L. Yuille,342,,,,,,,,,,,,,
David Garlan,342,,,,,,,,,,,,,
Marc J. van Kreveld,342,,,,,,,,,,,,,
Marcello La Rosa,342,,,,,,,,,,,,,
Michael R. Fellows,342,,,,,,,,,,,,,
Ales Leonardis,341,,,,,,,,,,,,,
Donald F. Towsley,341,,,,,,,,,,,,,
Lothar Thiele,341,,,,,,,,,,,,,
Mark Harman,341,,,,,,,,,,,,,
Andreas Oberweis,339,,,,,,,,,,,,,
Bram van Ginneken,339,,,,,,,,,,,,,
Daniel J. Kleitman,339,,,,,,,,,,,,,
David W. Aha,339,,,,,,,,,,,,,
Eric A. Brewer,339,,,,,,,,,,,,,
Ioannis Kompatsiaris,339,,,,,,,,,,,,,
Rama Chellappa,339,,,,,,,,,,,,,
Richard F. Paige,339,,,,,,,,,,,,,
Ron Kikinis,339,,,,,,,,,,,,,
Anastasia Ailamaki,338,,,,,,,,,,,,,
Daphne Koller,338,,,,,,,,,,,,,
David C. Parkes,338,,,,,,,,,,,,,
Hans-Peter Kriegel,338,,,,,,,,,,,,,
Jun Zhao 0003,338,,,,,,,,,,,,,
Jérôme Lang,338,,,,,,,,,,,,,
Martin Wirsing,338,,,,,,,,,,,,,
Wei Tan 0001,338,,,,,,,,,,,,,
Xavier Franch,338,,,,,,,,,,,,,
Dietrich Rebholz-Schuhmann,337,,,,,,,,,,,,,
Gregory D. Abowd,337,,,,,,,,,,,,,
Guanrong Chen,337,,,,,,,,,,,,,
Jaideep Srivastava,337,,,,,,,,,,,,,
Manfred Hauswirth,337,,,,,,,,,,,,,
Mounia Lalmas,337,,,,,,,,,,,,,
Qing Li 0001,337,,,,,,,,,,,,,
Rajeev Alur,337,,,,,,,,,,,,,
Simon Miles,337,,,,,,,,,,,,,
Jie Wu 0001,336,,,,,,,,,,,,,
Manfred Reichert,336,,,,,,,,,,,,,
Philipp Cimiano,336,,,,,,,,,,,,,
Shlomi Dolev,336,,,,,,,,,,,,,
Susanna-Assunta Sansone,336,,,,,,,,,,,,,
Allison Druin,335,,,,,,,,,,,,,
Carles Sierra,335,,,,,,,,,,,,,
